animeID,name,type,source,episodes,duration,genre,rating,score,scored_by,rank,popularity,members,favorites
19447,Arata Kangatari Picture Drama,Special,Manga,6,0:06:00,['Fantasy'],PG-13 - Teens 13 or older,5.92,282,7908,7768,1654,2
19457,Green Saver,TV,Original,26,0:30:00,"['Adventure', 'Kids']",G - All Ages,5.65,17,11046,13240,139,1
19467,Revbahaf Wang-gug Jaegeon-soelgi,TV,Unknown,26,0:20:00,"['Comedy', 'Drama', 'Shoujo']",None,6.13,16,12673,10686,396,1
19501,Giga Tribe,TV,Unknown,39,0:20:00,"['Comedy', 'Parody', 'Shounen', 'Super Power']",PG - Children,5.28,18,10989,12038,210,0
19505,Kaizoku Ouji,TV,Unknown,31,0:25:00,"['Adventure', 'Shounen']",None,6.82,17,11482,11895,222,0
19535,Taka no Tsume GO: Utsukushiki Elleair Shoushuu Plus,Movie,Unknown,1,1:50:00,"['Comedy', 'Parody', 'Super Power']",None,5.57,21,13148,11813,230,0
19547,Beompeoking Jaepeo,TV,Unknown,26,0:30:00,"['Action', 'Cars']",None,4.56,32,10488,12490,180,1
19555,Ttoli Janggun,Movie,Unknown,1,1:16:00,"['Action', 'Drama', 'Shounen']",None,4.72,18,13350,13699,117,0
19559,Otoko wa Tsurai yo: Torajirou Wasurenagusa,Special,Unknown,1,1:35:00,"['Comedy', 'Romance']",None,5.87,15,12458,13295,137,0
19585,Kobo-chan,TV,4-koma manga,63,0:25:00,"['Comedy', 'Kids', 'Slice of Life']",G - All Ages,6.55,71,5575,11529,261,1
19587,Kaiketsu Zorori: Mamoru ze! Kyouryuu no Tamago,Movie,Unknown,1,1:17:00,"['Adventure', 'Comedy', 'Kids']",PG - Children,6.75,32,11473,12111,205,0
19613,New Initial D Movie: Legend 1 - Kakusei,Movie,Manga,1,1:02:00,"['Action', 'Cars', 'Seinen', 'Sports']",PG-13 - Teens 13 or older,7.89,6721,725,3413,14438,38
19645,Doraemon Movie 34: Shin Nobita no Daimakyou - Peko to 5-nin no Tankentai,Movie,Unknown,1,1:49:00,"['Adventure', 'Comedy', 'Fantasy', 'Kids']",PG - Children,7.4,785,2049,7913,1543,2
19647,Hajime no Ippo: Rising,TV,Manga,25,0:22:00,"['Comedy', 'Sports', 'Drama', 'Shounen']",PG-13 - Teens 13 or older,8.65,66514,58,829,117076,719
19653,Neppuu Kairiku Bushi Road,Special,Original,1,1:33:00,"['Action', 'Fantasy', 'Mecha', 'Sci-Fi']",R - 17+ (violence & profanity),7.31,12639,2438,2242,31684,123
19681,Hustle Punch,TV,Unknown,26,0:25:00,"['Comedy', 'Fantasy', 'Kids']",PG - Children,5.64,25,11288,11242,298,0
